Severity,City,County,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Junction,Stop,Traffic_Signal,daytime
2,Los Angeles,Los Angeles_CA,CA,69.1,45,10,0,0,Clear,FALSE,FALSE,TRUE,day
3,Buffalo,Erie_NY,NY,50,50,10,5.8,0,Overcast,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,64.4,100,1,10.4,0,Overcast,FALSE,FALSE,TRUE,day
2,Huntingdon Valley,Montgomery_PA,PA,82.9,38,10,11.5,0,Clear,FALSE,FALSE,FALSE,day
2,Vernon Hills,Lake_IL,IL,37,54,10,16.1,0,Clear,FALSE,FALSE,FALSE,day
2,Indianapolis,Marion_IN,IN,55.4,47,10,0,0,Clear,FALSE,FALSE,FALSE,day
2,Pomona,Los Angeles_CA,CA,91.4,10,10,9.2,0,Clear,FALSE,FALSE,FALSE,day
3,Irvine,Orange_CA,CA,73.9,22,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
3,Bessemer,Jefferson_AL,AL,27,96,2.5,0,0,Partly Cloudy,FALSE,FALSE,FALSE,twilight
3,Saint Paul,Dakota_MN,MN,26.1,92,1,9.2,0.02,Light Snow,TRUE,FALSE,FALSE,night
3,Montgomery,Montgomery_AL,AL,65.5,28,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
2,Elizabethtown,Lancaster_PA,PA,73.9,91,10,10.4,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Rodeo,Contra Costa_CA,CA,63,72,10,12,0,Fair,FALSE,FALSE,FALSE,twilight
3,North Hills,Los Angeles_CA,CA,61,50,10,0,0,Clear,FALSE,FALSE,FALSE,night
3,Hialeah,Miami-Dade_FL,FL,84,82,10,12.7,0,Scattered Clouds,FALSE,FALSE,FALSE,twilight
2,Seattle,King_WA,WA,63,54,10,3.5,0,Clear,FALSE,FALSE,FALSE,day
2,Moorpark,Ventura_CA,CA,59,93,9,0,0,Overcast,FALSE,FALSE,FALSE,night
2,Wheaton,Dupage_IL,IL,43,74,8,5.8,0,Clear,FALSE,FALSE,TRUE,twilight
4,Dickerson,Montgomery_MD,MD,54,77,10,5,0,Light Rain,FALSE,FALSE,FALSE,day
2,Leggett,Mendocino_CA,CA,43,100,0,7,0,Cloudy,FALSE,FALSE,FALSE,night
2,Lancaster,Dallas_TX,TX,101.5,29,10,4.6,0,Clear,TRUE,FALSE,FALSE,day
3,Canton,Wayne_MI,MI,84.9,59,10,10.4,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Milpitas,Santa Clara_CA,CA,64.9,48,10,19.6,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Tallahassee,Leon_FL,FL,33.1,100,10,0,0,Mostly Cloudy,FALSE,FALSE,TRUE,twilight
2,Houston,Harris_TX,TX,39,65,10,16.1,0,Overcast,FALSE,FALSE,FALSE,day
2,Flint,Genesee_MI,MI,82,34,10,11.5,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Sparks,Washoe_NV,NV,91,15,7,0,0,Clear,FALSE,FALSE,FALSE,day
3,Kansas City,Jackson_MO,MO,73.9,82,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
2,Montgomery,Montgomery_AL,AL,56,32,10,6,0,Fair,FALSE,FALSE,TRUE,day
2,Fairburn,Fulton_GA,GA,73,81,10,9.2,0,Overcast,FALSE,FALSE,FALSE,day
2,Raleigh,Wake_NC,NC,50,36,10,8.1,0,Overcast,FALSE,FALSE,FALSE,day
2,Cary,Wake_NC,NC,90,57,10,9.2,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Trenton,Mercer_NJ,NJ,59,93,0.8,13.8,0.14,Heavy Rain,FALSE,FALSE,FALSE,day
2,Carpinteria,Santa Barbara_CA,CA,78.1,32,10,5.8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Denver,Denver_CO,CO,55,63,10,3,0,Partly Cloudy,FALSE,FALSE,TRUE,night
4,Klamath Falls,Klamath_OR,OR,42.1,76,10,9.2,0,Overcast,FALSE,FALSE,FALSE,day
2,Pittsburg,Contra Costa_CA,CA,63,67,10,12,0,Fair,FALSE,FALSE,TRUE,day
2,Alpharetta,Fulton_GA,GA,66.9,57,10,9.2,0,Overcast,FALSE,FALSE,TRUE,day
3,Louisville,Jefferson_KY,KY,33.1,72,10,5.8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Atlanta,Fulton_GA,GA,62.1,93,9,10.4,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Irvine,Orange_CA,CA,58,72,10,3,0,Fair,FALSE,FALSE,TRUE,night
3,Austin,Travis_TX,TX,81,21,10,16.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Hopkins,Hennepin_MN,MN,63,63,10,0,0,Cloudy,FALSE,FALSE,FALSE,day
2,Nashville,Davidson_TN,TN,50,33,10,13.8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
4,Chicago,Cook_IL,IL,66,59,10,7,0,Mostly Cloudy,FALSE,FALSE,TRUE,night
2,Redwood City,San Mateo_CA,CA,68,64,10,10.4,0,Scattered Clouds,FALSE,FALSE,FALSE,day
4,Windham,Portage_OH,OH,41.9,95,10,8.1,0.07,Rain,FALSE,FALSE,FALSE,twilight
3,Baton Rouge,East Baton Rouge_LA,LA,66.9,73,10,11.5,0,Overcast,FALSE,FALSE,FALSE,twilight
3,Staten Island,Richmond_NY,NY,54.9,82,10,8.1,0,Drizzle,FALSE,FALSE,FALSE,day
3,Bronx,Bronx_NY,NY,75,50,10,3.5,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Omaha,Douglas_NE,NE,64,65,10,7,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Aiken,Aiken_SC,SC,66.2,46,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
4,Atlanta,Fulton_GA,GA,64.9,93,8,8.1,0,Light Rain,FALSE,FALSE,FALSE,day
3,New Orleans,Orleans_LA,LA,84,79,10,10,0,Cloudy,FALSE,FALSE,FALSE,day
3,Salt Lake City,Salt Lake_UT,UT,72,53,10,5.8,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Indian Trail,Union_NC,NC,68,33,10,3,0,Fair,FALSE,FALSE,TRUE,day
3,Dallas,Dallas_TX,TX,90,39,10,9.2,0,Partly Cloudy,FALSE,FALSE,FALSE,day
4,Flagstaff,Coconino_AZ,AZ,23,88,10,6.9,0,Clear,FALSE,FALSE,FALSE,day
3,Seattle,King_WA,WA,57,89,2,5.8,0.06,Light Rain,FALSE,FALSE,FALSE,day
3,Los Angeles,Los Angeles_CA,CA,52,89,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
3,Dallas,Dallas_TX,TX,82.4,39,10,12.7,0,Clear,FALSE,FALSE,FALSE,day
4,Williamsport,Washington_MD,MD,39.9,83,10,12.7,0,Overcast,FALSE,FALSE,FALSE,day
3,Bridgeton,St. Louis County_MO,MO,50,93,6,3.5,0,Overcast,FALSE,FALSE,FALSE,day
3,Upper Marlboro,Prince George's_MD,MD,69.8,100,2.2,5.8,0,Overcast,FALSE,FALSE,FALSE,day
2,Hayden,Blount_AL,AL,43,86,10,11.5,0,Overcast,FALSE,FALSE,FALSE,day
2,North Wales,Montgomery_PA,PA,86,40,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
2,Seattle,King_WA,WA,45,80,10,6.9,0,Mostly Cloudy,FALSE,FALSE,TRUE,night
2,Irvington,Essex_NJ,NJ,60.1,75,10,8.1,0,Overcast,FALSE,FALSE,FALSE,day
3,Glendora,Los Angeles_CA,CA,96.8,17,10,0,0,Clear,FALSE,FALSE,FALSE,day
3,Oklahoma City,Oklahoma_OK,OK,75.9,79,10,5.8,0,Overcast,FALSE,FALSE,FALSE,day
2,Billerica,Middlesex_MA,MA,73.9,91,10,10.4,0,Light Rain,FALSE,FALSE,FALSE,day
3,Salt Lake City,Salt Lake_UT,UT,94,12,10,7,0,Fair,FALSE,FALSE,FALSE,day
2,Springfield,Lane_OR,OR,51,86,6,6,0,Cloudy,FALSE,FALSE,TRUE,day
2,Harrisonburg,Harrisonburg_VA,VA,21.7,84,5,12.7,0,Light Snow,FALSE,FALSE,TRUE,day
2,Coronado,San Diego_CA,CA,66.9,84,10,4.6,0,Partly Cloudy,FALSE,FALSE,FALSE,twilight
2,Grand Rapids,Kent_MI,MI,51.1,89,10,8.1,0,Overcast,FALSE,FALSE,TRUE,twilight
2,Lexington,Lexington_SC,SC,48,89,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
3,Melville,Suffolk_NY,NY,63,58,10,9.2,0,Clear,FALSE,FALSE,FALSE,day
4,Wofford Heights,Kern_CA,CA,101,8,10,18,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Montgomery,Montgomery_AL,AL,42.6,39,10,11.5,0,Clear,FALSE,FALSE,FALSE,day
2,Chicago,Cook_IL,IL,65,73,10,12,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Fort Lauderdale,Broward_FL,FL,82,85,10,7,0,Mostly Cloudy,FALSE,TRUE,FALSE,day
2,Salt Lake City,Salt Lake_UT,UT,83.3,34,10,25.3,0,Clear,FALSE,FALSE,FALSE,day
3,Philadelphia,Philadelphia_PA,PA,48,80,10,8.1,0,Overcast,FALSE,FALSE,TRUE,day
2,Oklahoma City,Oklahoma_OK,OK,73,68,10,6.9,0,Scattered Clouds,FALSE,FALSE,FALSE,twilight
2,Tampa,Hillsborough_FL,FL,80.6,94,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
3,San Pablo,Contra Costa_CA,CA,57.9,39,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
2,Wichita Falls,Wichita_TX,TX,80.2,60,10,3.5,0,Clear,FALSE,FALSE,FALSE,twilight
4,Fallston,Harford_MD,MD,48.2,100,7,11.5,0,Overcast,FALSE,FALSE,FALSE,night
